run_id,attempt_id,stage,condition,status,planned_training_decisions,actual_training_decisions,diagnostic_decisions,config_path,result_path,notes
P1-TRAIN-SMOKE,attempt-01,development,TASK,FAIL,4096,2048,0,runs/P1-TRAIN-SMOKE/attempt-01/resolved_config.json,runs/P1-TRAIN-SMOKE/attempt-01/result.json,2048 rollout collection decisions; ZERO optimizer updates/checkpoints; SB3 episode-key collision; retained before explicit fresh restart.
P1-TRAIN-SMOKE,attempt-02,development,TASK,PASS,4096,4096,1200,runs/P1-TRAIN-SMOKE/attempt-02/resolved_config.json,runs/P1-TRAIN-SMOKE/attempt-02/result.json,Fresh restart of attempt-01; 2rollouts/20epochs; both checkpoints verified; 2fresh600-decision evaluations; no scientific pilot.
P1-TASK,attempt-01,development,TASK,PASS_WITH_RECORDED_SUPERVISOR_LIMIT,51200,51200,6000,runs/P1-TASK/attempt-01/resolved_config.json,runs/P1-TASK/attempt-01/result.json,25rollouts;5checkpoints;10fresh evaluations; no training restart. Outer supervisor interrupted; training continued; OS train exit code unavailable.
P1-MAX,attempt-01,development,MAX,PASS,51200,51200,6000,runs/P1-MAX/attempt-01/resolved_config.json,runs/P1-MAX/attempt-01/result.json,25rollouts;5checkpoints;10fresh evaluations; no training restart. Transient user service preserved supervision; exit statuses captured.
P1-RANDOM,attempt-01,development,RANDOM,PASS,0,0,6000,runs/P1-RANDOM/attempt-01/resolved_config.json,runs/P1-RANDOM/attempt-01/result.json,Ten fresh uniform-action episodes; seeds3001-3010/action4001-4010; independently verified; no training.
P1-READINESS-AUDIT,replay-different,diagnostic,MAX,PASS,0,0,240,session5/runs/replay-different/config.json,session5/runs/replay-different/result.json,Scripted actions; not a training or policy-evaluation run.
P1-READINESS-AUDIT,replay-same-a,diagnostic,MAX,PASS,0,0,240,session5/runs/replay-same-a/config.json,session5/runs/replay-same-a/result.json,Scripted actions; not a training or policy-evaluation run.
P1-READINESS-AUDIT,replay-same-b,diagnostic,MAX,PASS,0,0,240,session5/runs/replay-same-b/config.json,session5/runs/replay-same-b/result.json,Scripted actions; not a training or policy-evaluation run.
P1-READINESS-AUDIT,task-resource-01,diagnostic,TASK,PASS,0,0,240,session5/runs/task-resource-01/config.json,session5/runs/task-resource-01/result.json,Scripted actions; not a training or policy-evaluation run.
P1-READINESS-AUDIT,timing120-01,diagnostic,TASK,PASS,0,0,120,session5/runs/timing120-01/config.json,session5/runs/timing120-01/result.json,Scripted actions; not a training or policy-evaluation run.
P1-READINESS-AUDIT,timing60-01,diagnostic,TASK,FAIL,0,0,0,,session5/runs/timing60-01/result.json,"ModuleNotFoundError(""No module named 'psutil'"")"
P1-READINESS-AUDIT,timing60-02,diagnostic,TASK,FAIL,0,0,0,session5/runs/timing60-02/config.json,session5/runs/timing60-02/result.json,"AttributeError(""can't set attribute"")"
P1-READINESS-AUDIT,timing60-03,diagnostic,TASK,PASS,0,0,60,session5/runs/timing60-03/config.json,session5/runs/timing60-03/result.json,Scripted actions; not a training or policy-evaluation run.
